0.00 2.9678129936
0.00 24.1802025884
0.00 2.9505003610
0.00 69.3147180560 69.3147180560 
0.00 69.3147180560 69.3147180560 
0.00 69.3147180560 69.3147180560 
0.00 69.3147180560 69.3147180560 
0.00 69.3147180560 69.3147180560 
100.00 69.3147180560 69.3147180560 
100.00 69.3147180560 69.3147180560 
0.00 69.3147180560 69.3147180560 
0.00 5.1954602824 3.5999497360 
0.00 4.7574216998 3.4340706333 
0.00 2.9678129936 2.4632981677 
0.10 2.9862584689 2.4749707005 
0.10 2.9862584689 2.4749707005 
0.20 2.9940033850 2.4818487527 
